year,date,total,adults,calves
2000,4-Jun-00,553,460,93
2000,13-Jul-00,508,NA,NA
2000,31-Aug-00,590,NA,NA
2001,21-Jun-01,661,557,104
2001,"July 24-25, 2001",719,NA,NA
2002,25-Jun-02,548,477,71
2002,29-Jul-02,812,NA,NA
2002,22-Aug-02,805,NA,NA
2003,10-Jul-03,878,753,125
2003,8-Aug-03,888,NA,NA
2003,28-Aug-03,996,NA,NA
2004,21-Jul-04,"1,337",NA,NA
2004,28-Jul-04,968,NA,NA
2004,4-Aug-04,876,NA,NA
2005,19-Jul-05,"1,266",NA,NA
2005,26-Jul-05,"1,353",NA,NA
2005,1-Aug-05,"1,484",NA,NA
2006,19-Jul-06,"1,283",NA,NA
2006,26-Jul-06,"1,377",NA,NA
2006,2-Aug-06,"1,279",NA,NA
2007,14-Jun-07,"1,820","1,499",321
2007,30-Jul-07,"1,569",NA,NA
2007,6-Aug-07,"2,070",NA,NA
2008,14-Jun-08,"1,793","1,468",325
2008,8-Jul-08,"1,341",NA,NA
2008,15-Jul-08,"1,500",NA,NA
2009,12-Jun-09,"1,837","1,518",319
2009,9-Jul-09,"1,433",NA,NA
2009,16-Jul-09,"1,648",NA,NA
2010,14-Jun-10,"2,246","1,891",355
2010,8-Jul-10,"1,985",NA,NA
2010,22-Jul-10,"1,855",NA,NA
2011,21-Jun-11,"2,675","2,188",487
2011,12-Jul-11,"2,288",NA,NA
2011,18-Jul-11,"2,314",NA,NA
2011,25-Jul-11,"2,155",NA,NA
2012,21-Jun-12,"2,490","2,097",393
2012,8-Jul-12,"2,531",NA,NA
2012,22-Jul-12,"2,669",NA,NA
2013,6-Jun-13,"3,165","2,631",534
2013,15-Jul-13,"3,420",NA,NA
2013,22-Jul-13,"3,231",NA,NA
2014,"June 20 ,2014","3,517","2,926",591
2014,18-Jul-14,"2,942",NA,NA
2014,July 25.2014,"3,424",NA,NA
2015,"June 13-14, 2015","3,628","2,997",631
2015,12-Jul-15,"3,325",NA,NA
2015,"July19-20, 2015","3,441",NA,NA
2016,"June 18 & 28, 2016","4,008","3,312",696
2016,18-Jul-15,"3,152",NA,NA
2016,25-Jul-16,"3,171",NA,NA
2016,8-Aug-16,"4,042",NA,NA
2017,3-Aug-17,"3,619",NA,NA
2017,"August 4-5, 2017","3,969",NA,NA
2018,"June 4-5, 2018","3,643","2,994",649
2018,"August 4-5, 2018","3,337",NA,NA
2018,"September 2-3, 2018","3,210",NA,NA
2019,"June 12-13, 2019","3,667",2995,672
2019,"July 29-30, 2019","3,540",NA,NA
2020,"August 21-22, 2020","3,437",NA,NA
2020,"August 21-22, 2020","3,407",NA,NA
2021,"August 21-22, 2021",3820,NA,NA
2021,"August 21-22, 20221",3623,NA,NA
2022,"August 26-29, 2022",4240,NA,NA
2022,"August 30-31, 2022",4509,NA,NA
2023,NA,NA,NA,NA
