site_full,willid,year,willid_full,site_id,treat,exp,plantht,N_shoots,N_browsed,N_unbrowsed,N_deep_browsed,p_browsed,p_deep_browsed,fence,dam,browse,n.plants,n.years,min_yr,max_yr
crescent-obs,86,2010,crescent-obs-86,crescent,obs,0,49,95,60,33,2,0.631578947368421,0.021052631578947400,0,0,1,9,10,2009,2018
crescent-obs,86,2014,crescent-obs-86,crescent,obs,0,65,84,3,76,5,0.03571428571428570,0.05952380952380950,0,0,1,9,10,2009,2018
crescent-obs,86,2013,crescent-obs-86,crescent,obs,0,66,134,74,55,5,0.5522388059701490,0.03731343283582090,0,0,1,9,10,2009,2018
crescent-obs,86,2011,crescent-obs-86,crescent,obs,0,45,170,43,120,7,0.2529411764705880,0.041176470588235300,0,0,1,9,10,2009,2018
crescent-obs,86,2009,crescent-obs-86,crescent,obs,0,42,54,29,25,0,0.5370370370370370,0,0,0,1,9,10,2009,2018
crescent-obs,86,2017,crescent-obs-86,crescent,obs,0,56,75,14,54,7,0.18666666666666700,0.09333333333333330,0,0,1,9,10,2009,2018
crescent-obs,86,2012,crescent-obs-86,crescent,obs,0,81,78,22,56,0,0.28205128205128200,0,0,0,1,9,10,2009,2018
crescent-obs,86,2018,crescent-obs-86,crescent,obs,0,57,27,8,19,0,0.2962962962962960,0,0,0,1,9,10,2009,2018
crescent-obs,86,2015,crescent-obs-86,crescent,obs,0,66,124,13,107,4,0.10483870967741900,0.03225806451612900,0,0,1,9,10,2009,2018
crescent-obs,89,2013,crescent-obs-89,crescent,obs,0,77,69,31,32,6,0.4492753623188410,0.08695652173913040,0,0,1,8,9,2009,2017
crescent-obs,89,2011,crescent-obs-89,crescent,obs,0,50,12,8,4,0,0.6666666666666670,0,0,0,1,8,9,2009,2017
crescent-obs,89,2017,crescent-obs-89,crescent,obs,0,56,27,0,26,1,0,0.037037037037037000,0,0,1,8,9,2009,2017
crescent-obs,89,2012,crescent-obs-89,crescent,obs,0,89,46,3,43,0,0.06521739130434780,0,0,0,1,8,9,2009,2017
crescent-obs,89,2009,crescent-obs-89,crescent,obs,0,47,32,22,10,0,0.6875,0,0,0,1,8,9,2009,2017
crescent-obs,89,2010,crescent-obs-89,crescent,obs,0,49,31,21,10,0,0.6774193548387100,0,0,0,1,8,9,2009,2017
crescent-obs,89,2014,crescent-obs-89,crescent,obs,0,68,48,0,46,2,0,0.041666666666666700,0,0,1,8,9,2009,2017
crescent-obs,89,2015,crescent-obs-89,crescent,obs,0,83,38,0,38,0,0,0,0,0,1,8,9,2009,2017
crescent-obs,92,2014,crescent-obs-92,crescent,obs,0,46,18,13,2,3,0.7222222222222220,0.16666666666666700,0,0,1,8,10,2009,2018
crescent-obs,92,2009,crescent-obs-92,crescent,obs,0,60,14,5,9,0,0.35714285714285700,0,0,0,1,8,10,2009,2018
crescent-obs,92,2018,crescent-obs-92,crescent,obs,0,50,6,4,2,0,0.6666666666666670,0,0,0,1,8,10,2009,2018
crescent-obs,92,2013,crescent-obs-92,crescent,obs,0,54,1,0,1,0,0,0,0,0,1,8,10,2009,2018
crescent-obs,92,2017,crescent-obs-92,crescent,obs,0,51,12,1,11,0,0.08333333333333330,0,0,0,1,8,10,2009,2018
crescent-obs,92,2012,crescent-obs-92,crescent,obs,0,62,14,6,7,1,0.42857142857142900,0.07142857142857140,0,0,1,8,10,2009,2018
crescent-obs,92,2010,crescent-obs-92,crescent,obs,0,56,27,10,16,1,0.37037037037037000,0.037037037037037000,0,0,1,8,10,2009,2018
crescent-obs,92,2011,crescent-obs-92,crescent,obs,0,49,14,9,3,2,0.6428571428571430,0.14285714285714300,0,0,1,8,10,2009,2018
crescent-obs,95,2010,crescent-obs-95,crescent,obs,0,53,19,18,1,0,0.9473684210526320,0,0,0,1,9,10,2009,2018
crescent-obs,95,2012,crescent-obs-95,crescent,obs,0,81,27,12,15,0,0.4444444444444440,0,0,0,1,9,10,2009,2018
crescent-obs,95,2014,crescent-obs-95,crescent,obs,0,51,10,5,1,4,0.5,0.4,0,0,1,9,10,2009,2018
crescent-obs,95,2011,crescent-obs-95,crescent,obs,0,59,27,14,9,4,0.5185185185185190,0.14814814814814800,0,0,1,9,10,2009,2018
crescent-obs,95,2017,crescent-obs-95,crescent,obs,0,40,17,0,14,3,0,0.17647058823529400,0,0,1,9,10,2009,2018
crescent-obs,95,2013,crescent-obs-95,crescent,obs,0,80,53,39,7,7,0.7358490566037740,0.1320754716981130,0,0,1,9,10,2009,2018
crescent-obs,95,2009,crescent-obs-95,crescent,obs,0,51,20,11,8,1,0.55,0.05,0,0,1,9,10,2009,2018
