year,mean,lwrCL,uprCL
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,16910,10449.88,24910.13
1996,16297,9036.70,26937.03
1997,15657,9034.98,25746.08
1998,14301,8679.93,23614.03
1999,13422,7556.95,20487.25
2000,12835,6664.88,22061.05
2001,11936,7126.95,25201.43
2002,10662,8588.00,16705.08
2003,9215,6961.98,14575.00
2004,7974,6255.00,11188.05
2005,6663,5177.00,9481.03
2006,5658,3981.93,7738.00
2007,5329,4459.00,7182.03
2008,4836,3528.98,6946.03
2009,4575,3806.00,6935.15
2010,3714,2630.00,5561.03
2011,3273,2571.00,4573.03
2012,2686,1655.00,4055.03
2013,2368,1477.00,3628.03
2014,2271,1437.00,3669.08
2015,2170,1433.00,3334.00
2016,2102,1513.00,3056.03
2017,1986,1396.98,2791.03
2018,2086,1851.00,2788.08
2019,2016,1354.00,2984.03
2020,1904,1361.00,3035.05
2021,1908,1179.00,3133.00
2022,1902,1108.00,3192.00
2023,1854,1078.00,3208.00
